la_code,la_name,spend_resid_median,spend_resid_lag_median,combined_spend_resid_median,spend_resid_q89_lb,spend_resid_lag_q89_lb,combined_spend_resid_q89_lb,spend_resid_q89_ub,spend_resid_lag_q89_ub,combined_spend_resid_q89_ub
E06000050,Cheshire West and Chester,0.00563316461089345,-0.023274209271195157,-0.011359891170769992,-0.20009817853813344,-0.3931159355134481,-0.4345892269484811,0.26361015570140195,0.32578156680947873,0.4306596786095467
E06000051,Shropshire,0.005752717468219079,-0.05624339136159319,-0.061607545724992455,-0.20855570404213675,-0.3987701382299856,-0.46232891054847663,0.21621963663654914,0.23568156580999833,0.31448769170078145
E06000052,Cornwall,0.006199153122646125,0.01565218140103946,0.027749084387674223,-0.1910541821445727,-0.31584278150433354,-0.3480138246775442,0.23817790638586928,0.364177969863456,0.4530628106719768
E06000054,Wiltshire,-0.0017243466299604671,0.0014368267123856804,-0.006196363930705214,-0.22193491567758547,-0.32654001754094036,-0.365430312763963,0.23300503151855018,0.33963182543535275,0.4195611920358984
E06000055,Bedford,-0.006920941250869696,0.004709813394437527,-0.02038623895940985,-0.25788762029968226,-0.31860708780229946,-0.40541076971901296,0.19716083811768859,0.368791680672365,0.4039103674181981
E06000056,Central Bedfordshire,-0.004630355405898977,0.051365281522799525,0.03588538114519581,-0.23339215201261854,-0.2726465842812653,-0.3484128354477061,0.21799355686733313,0.37349219351357954,0.4553791042983548
E06000057,Northumberland,-0.005255872106195339,-0.02229983854956063,-0.044284483469185745,-0.24102826504536906,-0.36619619750149435,-0.4661697816244852,0.22324575993655102,0.3439612586361091,0.3928919409233754
E06000058,"Bournemouth, Christchurch and Poole",-0.005208727414720145,-0.060253861982916226,-0.06914125349500316,-0.2290970013496001,-0.4338929512490567,-0.5042270211790331,0.20926401212358375,0.236906954011117,0.29749539073014675
E06000060,Buckinghamshire,0.01546091289805089,-0.008774179523210262,0.018277068483106,-0.1724879590263285,-0.3063984210373581,-0.37377346271609846,0.23846602179068283,0.28365881269843596,0.4033994075563919
E08000001,Bolton,-0.006258053080855808,0.007497218061936652,-0.007032518104778937,-0.22938921884534386,-0.32253574628227377,-0.40249129558156727,0.20183595396326406,0.3725779111174343,0.43415450445423487
E08000002,Bury,-0.003194925937373853,-0.02066701320736749,-0.02979432199846062,-0.2365687483415024,-0.39172425986355647,-0.4685140745940814,0.2207508748134504,0.3511168573251514,0.391096857136638
E08000003,Manchester,0.006635540454262656,-0.04590209192221428,-0.042565678167860735,-0.2044890153058625,-0.3435978080392526,-0.411916306003175,0.21221747622552947,0.23817331286118132,0.31018522026614276
E08000004,Oldham,-0.06158847685998474,-0.06119666479357706,-0.13425652565437474,-0.3245373350971763,-0.35350711622568887,-0.5388651339407167,0.10694551988788074,0.20832962781393077,0.19521805926374583
E08000005,Rochdale,0.010528887373811687,-0.06916544245680814,-0.055459822007205034,-0.18367257493560307,-0.4049924818352964,-0.44673739699240994,0.2774216069752005,0.22579163472365707,0.3338387787797442
E08000006,Salford,0.0101937538079758,-0.008388021933373378,0.0024779261023250947,-0.20542833213778056,-0.2971560013490486,-0.35437551986807286,0.21972085288332982,0.2953357604368135,0.36862730486899953
E08000007,Stockport,0.016076883913965015,0.023141390594739,0.04263177805613312,-0.16454221626223053,-0.29094244584076584,-0.33458628213788605,0.2676820296581823,0.3692086777465974,0.455780808163906
E08000008,Tameside,0.07373280633157989,0.02835899496658245,0.11620317115776194,-0.08668472946837316,-0.19935562112655705,-0.19103771052638133,0.3249926061072778,0.25139324723344014,0.46286125612721696
E08000009,Trafford,5.466288620911196e-4,-0.13871887302384678,-0.13731755049028385,-0.19495477019623086,-0.43380774936994826,-0.50107400681987,0.22010431093336694,0.12768000209237992,0.19813193185936204
E08000010,Wigan,-0.00511979390121574,0.03740706843554024,0.031473048988602474,-0.2338259978501268,-0.30918142897099693,-0.3886846633511766,0.1942938719532308,0.3992135430680763,0.4546778228067129
E08000011,Knowsley,-0.01118855031788838,-0.0066168527262323255,-0.03300050280867252,-0.23173148416314093,-0.3521045415834081,-0.4250767412702259,0.19181022152592742,0.29861308243897183,0.34806067398630147
E08000012,Liverpool,0.010410612140051376,-0.08575392801108078,-0.08128758945044402,-0.20933659449538516,-0.4785181943352164,-0.5292049213078942,0.2339478441288643,0.20025557324099644,0.30888064194735815
E08000013,St. Helens,-0.007264582719365836,0.06714972368717068,0.06496512661504852,-0.2247498591306212,-0.23285322625894422,-0.30575594059010835,0.19544781084907953,0.41411677209029046,0.4403702629378761
E08000014,Sefton,-0.029179607722181027,0.07204445270187618,0.03813686801289962,-0.27179259462682615,-0.2243117572840917,-0.32988537824412784,0.14425425692205357,0.3765690732009638,0.37653261795999843
E08000015,Wirral,-0.07493347403666806,-0.12568224802029626,-0.2116140751973813,-0.35790183855618085,-0.4866958182177258,-0.6592292183373946,0.09280282350440255,0.18487023399463962,0.1507095878905079
E08000016,Barnsley,0.0719934322997784,0.21691582212470978,0.2999944468325343,-0.07306418131039921,0.003911661194783854,0.03219839531889942,0.3024389191184689,0.4458484793247127,0.5964858059913672
E08000017,Doncaster,2.2595042365183295e-4,-0.08030182168500317,-0.09100293611507206,-0.19778875724641898,-0.41588661821588985,-0.4458546736551727,0.17852728824651495,0.230797339180395,0.28575380257899263
